,favorite_count,followers_count,retweet_count,tweet_id
0,39492,3768791,8842,892420643555336193
1,33786,3768791,6480,892177421306343426
2,25445,3768791,4301,891815181378084864
3,42863,3768791,8925,891689557279858688
4,41016,3768791,9721,891327558926688256
5,20548,3768791,3240,891087950875897856
6,12053,3768791,2142,890971913173991426
7,66596,3768791,19548,890729181411237888
8,28187,3768791,4403,890609185150312448
9,32467,3768792,7684,890240255349198849
10,31127,3768793,7584,890006608113172480
11,28208,3768916,5116,889880896479866881
12,38745,3768793,8502,889665388333682689
13,27633,3768793,4705,889638837579907072
14,15329,3768793,2309,889531135344209921
15,25712,3768793,5635,889278841981685760
16,29555,3768793,4681,888917238123831296
17,26021,3768793,4535,888804989199671297
18,20267,3768793,3722,888554962724278272
19,22144,3768796,3637,888078434458587136
20,30690,3768796,5584,887705289381826560
21,46940,3768796,12053,887517139158093824
22,70007,3768796,18813,887473957103951883
23,34223,3768796,10713,887343217045368832
24,31045,3768797,6147,887101392804085760
25,35786,3768797,8045,886983233522544640
26,12286,3768798,3420,886736880519319552
27,22802,3768798,4597,886680336477933568
28,21488,3768798,3297,886366144734445568
29,117,3768798,4,886267009285017600
30,28437,3768798,6506,886258384151887873
31,1574,3768799,106,886054160059072513
32,33299,3768799,7043,885984800019947520
33,36592,3768801,6642,885528943205470208
34,20739,3768801,3876,885518971528720385
35,73157,3768801,19188,885311592912609280
36,22304,3768801,4526,885167619883638784
37,78881,3768801,19149,884925521741709313
38,28429,3768801,6042,884876753390489601
39,24716,3768801,5076,884562892145688576
40,27443,3768802,5836,884441805382717440
41,74192,3768802,21105,884247878851493888
42,20719,3768802,3099,884162670584377345
43,22269,3768801,3559,883838122936631299
44,46741,3768801,10336,883482846933004288
45,22932,3768801,3802,883360690899218434
46,37810,3768801,6900,883117836046086144
47,24358,3768801,4086,882992080364220416
48,28810,3768802,5086,882762694511734784
49,28327,3768802,6303,882627270321602560
50,45745,3768803,12013,882268110199369728
51,29843,3768806,5162,882045870035918850
52,24708,3768807,3516,881906580714921986
53,51390,3768807,11026,881666595344535552
54,129,3768930,7,881633300179243008
55,50326,3768807,16564,881536004380872706
56,23462,3768807,5328,881268444196462592
57,17288,3768807,2871,880935762899988482
58,21667,3768807,3957,880872448815771648
59,28997,3768807,6500,880465832366813184
60,27561,3768807,4398,880221127280381952
61,28085,3768807,4506,880095782870896641
62,22609,3768807,3615,879862464715927552
63,313,3768807,10,879674319642796034
64,23778,3768807,3300,879492040517615616
65,107834,3768807,45655,879415818425184262
66,17061,3768807,3239,879376492567855104
67,42743,3768807,7118,879130579576475649
68,22978,3768807,4890,879050749262655488
69,19265,3768807,2793,879008229531029506
70,19708,3768807,4282,878776093423087618
71,30835,3768807,7510,878604707211726852
72,7890,3768807,1338,878404777348136964
73,22047,3768807,6925,878316110768087041
74,7890,3768807,1338,878281511006478336
75,42743,3768807,7118,878057613040115712
76,81450,3768930,19908,877736472329191424
77,1895,3768807,82,877611172832227328
78,23188,3768809,3973,877556246731214848
79,27835,3768809,5377,877316821321428993
80,27661,3768809,5829,877201837425926144
81,21069,3768809,3493,876838120628539392
82,23789,3768809,4775,876537666061221889
